timestamp (s),battery_voltage (V),thrust,source_file
240.499,3.325513362884521,30000,battery_thrust_test_30000_20250702_144850.csv
240.599,3.33079195022583,30000,battery_thrust_test_30000_20250702_144850.csv
240.699,3.2832844257354736,30000,battery_thrust_test_30000_20250702_144850.csv
240.799,3.320234775543213,30000,battery_thrust_test_30000_20250702_144850.csv
240.899,3.3413491249084477,30000,battery_thrust_test_30000_20250702_144850.csv
240.999,3.3360705375671387,30000,battery_thrust_test_30000_20250702_144850.csv
241.099,3.33079195022583,30000,battery_thrust_test_30000_20250702_144850.csv
241.199,3.3360705375671387,30000,battery_thrust_test_30000_20250702_144850.csv
241.299,3.3360705375671387,30000,battery_thrust_test_30000_20250702_144850.csv
241.399,3.33079195022583,30000,battery_thrust_test_30000_20250702_144850.csv
241.499,3.325513362884521,30000,battery_thrust_test_30000_20250702_144850.csv
241.599,3.33079195022583,30000,battery_thrust_test_30000_20250702_144850.csv
241.699,3.3413491249084477,30000,battery_thrust_test_30000_20250702_144850.csv
241.799,3.33079195022583,30000,battery_thrust_test_30000_20250702_144850.csv
241.899,3.293841600418091,30000,battery_thrust_test_30000_20250702_144850.csv
241.999,3.278005838394165,30000,battery_thrust_test_30000_20250702_144850.csv
242.099,3.2621700763702397,30000,battery_thrust_test_30000_20250702_144850.csv
242.199,3.2568914890289307,30000,battery_thrust_test_30000_20250702_144850.csv
242.299,3.2727272510528564,30000,battery_thrust_test_30000_20250702_144850.csv
242.399,3.251612901687622,30000,battery_thrust_test_30000_20250702_144850.csv
242.499,3.2568914890289307,30000,battery_thrust_test_30000_20250702_144850.csv
242.599,3.2568914890289307,30000,battery_thrust_test_30000_20250702_144850.csv
242.699,3.33079195022583,30000,battery_thrust_test_30000_20250702_144850.csv
242.799,3.304398775100708,30000,battery_thrust_test_30000_20250702_144850.csv
242.899,3.251612901687622,30000,battery_thrust_test_30000_20250702_144850.csv
242.999,3.3360705375671387,30000,battery_thrust_test_30000_20250702_144850.csv
243.099,3.3519062995910645,27000,battery_thrust_test_30000_20250702_144850.csv
243.199,3.4046921730041504,24000,battery_thrust_test_30000_20250702_144850.csv
243.299,3.399413585662842,21000,battery_thrust_test_30000_20250702_144850.csv
243.399,3.436363697052002,18000,battery_thrust_test_30000_20250702_144850.csv
243.499,3.436363697052002,15000,battery_thrust_test_30000_20250702_144850.csv
243.599,3.4838709831237797,12000,battery_thrust_test_30000_20250702_144850.csv
243.699,3.5102639198303223,12000,battery_thrust_test_30000_20250702_144850.csv
243.799,3.5313782691955566,9000,battery_thrust_test_30000_20250702_144850.csv
243.899,3.552492618560791,6000,battery_thrust_test_30000_20250702_144850.csv
243.999,3.5841643810272217,3000,battery_thrust_test_30000_20250702_144850.csv
244.099,3.5894429683685303,1000,battery_thrust_test_30000_20250702_144850.csv
244.199,3.7002933025360103,0,battery_thrust_test_30000_20250702_144850.csv
244.299,3.7055718898773193,0,battery_thrust_test_30000_20250702_144850.csv
244.399,3.7055718898773193,0,battery_thrust_test_30000_20250702_144850.csv
244.499,3.7055718898773193,0,battery_thrust_test_30000_20250702_144850.csv
244.599,3.710850477218628,0,battery_thrust_test_30000_20250702_144850.csv
