algorithm,flowers,mission_time,energy,distance,battery_cycles
Greedy,10,59.433736897838784,0.08462093376851396,6.666868448919396,1
2-Opt,10,59.314330993741265,0.08462093376851396,6.607165496870633,1
MST,10,59.433736897838784,0.08462093376851396,6.666868448919396,1
Greedy,10,62.438009639357354,0.08462093376851396,8.169004819678682,1
2-Opt,10,61.46259514417831,0.08462093376851396,7.681297572089154,1
MST,10,62.438009639357354,0.08462093376851396,8.169004819678682,1
Greedy,10,60.293990757534395,0.08462093376851396,7.096995378767199,1
2-Opt,10,59.908814437058815,0.08462093376851396,6.904407218529408,1
MST,10,62.37982901955373,0.08462093376851396,8.139914509776867,1
Greedy,10,60.210361629257434,0.08462093376851396,7.055180814628714,1
2-Opt,10,59.136331070268135,0.08462093376851396,6.518165535134067,1
MST,10,62.6943927648487,0.08462093376851396,8.297196382424351,1
Greedy,10,56.04094928848495,0.08462093376851396,4.970474644242476,1
2-Opt,10,56.04094928848495,0.08462093376851396,4.970474644242476,1
MST,10,56.04094928848495,0.08462093376851396,4.970474644242476,1
Greedy,10,61.68511972517875,0.08462093376851396,7.792559862589373,1
2-Opt,10,61.06850814002319,0.08462093376851396,7.4842540700116,1
MST,10,62.31638249741651,0.08462093376851396,8.108191248708257,1
Greedy,10,60.52097348658231,0.08462093376851396,7.21048674329116,1
2-Opt,10,59.86926449412847,0.08462093376851396,6.88463224706423,1
MST,10,62.054422013579256,0.08462093376851396,7.977211006789629,1
Greedy,10,60.16895521916735,0.08462093376851396,7.034477609583674,1
2-Opt,10,59.89778960508051,0.08462093376851396,6.8988948025402586,1
MST,10,60.16895521916735,0.08462093376851396,7.034477609583674,1
Greedy,10,59.07840649363397,0.08462093376851396,6.489203246816985,1
2-Opt,10,58.928841790091944,0.08462093376851396,6.414420895045975,1
MST,10,62.27668248484298,0.08462093376851396,8.088341242421487,1
Greedy,10,58.63521551225749,0.08462093376851396,6.267607756128743,1
2-Opt,10,58.621203070179206,0.08462093376851396,6.2606015350896005,1
MST,10,61.83781925049721,0.08462093376851396,7.868909625248603,1
Greedy,50,231.51206555215322,0.40390648110525285,12.706032776076599,1
2-Opt,50,230.28322775451525,0.40390648110525285,12.091613877257636,1
MST,50,233.1331555970748,0.40390648110525285,13.51657779853737,1
Greedy,50,234.0123549433369,0.40390648110525285,13.95617747166847,1
2-Opt,50,232.0227709315513,0.40390648110525285,12.961385465775635,1
MST,50,236.99980178772645,0.40390648110525285,15.44990089386325,1
Greedy,50,233.12904678453853,0.40390648110525285,13.51452339226926,1
2-Opt,50,230.88397026184973,0.40390648110525285,12.39198513092487,1
MST,50,238.24162980337945,0.40390648110525285,16.070814901689744,1
Greedy,50,235.39635024924206,0.40390648110525285,14.64817512462099,1
2-Opt,50,232.52733643297844,0.40390648110525285,13.213668216489232,1
MST,50,240.16770127280608,0.40390648110525285,17.033850636403045,1
Greedy,50,235.94330251532952,0.40390648110525285,14.921651257664728,1
2-Opt,50,231.34669838496006,0.40390648110525285,12.623349192480019,1
MST,50,236.4593255174909,0.40390648110525285,15.179662758745428,1
Greedy,50,237.2467035133942,0.40390648110525285,15.573351756697084,1
